Date,Predicted_HashRate,Actual_HashRate
2023-06-03,3.475744812267232e+20,3.310934638956826e+20
2023-06-04,3.262673032457928e+20,3.7693717428123854e+20
2023-06-05,3.445227360142252e+20,3.51468446289263e+20
2023-06-06,3.174551379525036e+20,3.8457779267883126e+20
2023-06-07,3.524678689060182e+20,3.4382782789167035e+20
2023-06-08,3.715246615539485e+20,3.92218411076424e+20
2023-06-09,3.574206075778485e+20,4.304215030643873e+20
2023-06-10,3.697813676407693e+20,3.92218411076424e+20
2023-06-11,3.624054854220758e+20,4.15140266269202e+20
2023-06-12,3.484396087354774e+20,3.998590294740167e+20
2023-06-13,3.137085092915756e+20,3.7439030148204095e+20
2023-06-14,3.4664109677187865e+20,3.1488488972798794e+20
2023-06-15,3.572425589556168e+20,3.851484601631588e+20
2023-06-16,3.4015522177862114e+20,3.9816023246596814e+20
2023-06-17,3.59741233825596e+20,3.643296244786637e+20
2023-06-18,3.439428288123713e+20,3.929555235448444e+20
2023-06-19,3.319365899111532e+20,3.6953433339978744e+20
2023-06-20,3.137085092915756e+20,3.539202066364162e+20
2023-06-21,3.5064034906851475e+20,3.1488488972798794e+20
2023-06-22,3.137085092915756e+20,3.56522561096978e+20
2023-06-23,3.709704607658951e+20,3.252943075702354e+20
2023-06-24,3.82499637153038e+20,3.7994375124203504e+20
2023-06-25,3.691312275858477e+20,3.9816023246596814e+20
2023-06-26,3.586566880271962e+20,3.7994375124203504e+20
2023-06-27,3.137085092915756e+20,3.643296244786637e+20
2023-06-28,3.6060927218638415e+20,2.810542817406834e+20
2023-06-29,3.79336152486927e+20,3.6757494030124384e+20
2023-06-30,3.4302163463164776e+20,3.977865792301133e+20
2023-07-01,4.172666534949632e+20,3.348456647949687e+20
2023-07-02,3.5813552057918456e+20,4.305158547363884e+20
2023-07-03,3.698048598802071e+20,3.4491621110459184e+20
2023-07-04,3.937555481332336e+20,3.5498675741421496e+20
2023-07-05,3.6241049096230155e+20,3.927513060753017e+20
2023-07-06,4.1739939688614455e+20,3.499514842594034e+20
2023-07-07,4.2121696521509385e+20,4.405864010460115e+20
2023-07-08,4.103591506852667e+20,4.4813931077822887e+20
2023-07-09,3.8367387169722604e+20,4.254805815815768e+20
2023-07-10,3.453958164452442e+20,3.8771603292049015e+20
2023-07-11,3.741233867565094e+20,3.398809379497803e+20
2023-07-12,3.137085092915756e+20,3.859112082142128e+20
2023-07-13,3.634001669983297e+20,3.2159267351184395e+20
2023-07-14,3.6159069362389916e+20,3.6983157453862063e+20
2023-07-15,3.9391670086913733e+20,3.6983157453862063e+20
2023-07-16,3.551085887533944e+20,4.153905366194652e+20
2023-07-17,4.021621157061951e+20,3.644716966467565e+20
2023-07-18,3.809523313695254e+20,4.3415010924098925e+20
2023-07-19,3.137085092915756e+20,3.966309639979409e+20
2023-07-20,3.137085092915756e+20,3.430321850793002e+20
2023-07-21,3.454893758811277e+20,3.001531619443877e+20
2023-07-22,3.787960985335338e+20,3.591118187548924e+20
2023-07-23,3.8030154313441804e+20,3.939510250520088e+20
2023-07-24,3.653427802927062e+20,4.01990841889805e+20
2023-07-25,3.795492706266233e+20,3.6983157453862063e+20
2023-07-26,3.663980498690532e+20,3.859112082142128e+20
2023-07-27,3.709151104938441e+20,3.589731212673328e+20
2023-07-28,3.374979357585432e+20,3.641756302712072e+20
2023-07-29,4.172054745332397e+20,3.4336559425570963e+20
2023-07-30,3.738026155542082e+20,4.370107563254486e+20
2023-07-31,3.736974342223752e+20,3.667768847731443e+20
2023-08-01,4.056959165793615e+20,3.6157437576927e+20
2023-08-02,3.9911126097519e+20,4.00593193298328e+20
2023-08-03,3.137085092915756e+20,3.9278942979251634e+20
2023-08-04,4.0324579968950115e+20,3.147517947344005e+20
2023-08-05,4.180889479186465e+20,4.00593193298328e+20
2023-08-06,3.895535434398567e+20,4.266057383176998e+20
2023-08-07,3.137085092915756e+20,3.7978315728283035e+20
2023-08-08,4.193781439547878e+20,3.251568127421493e+20
2023-08-09,3.137085092915756e+20,4.2190950060732554e+20
2023-08-10,3.924723627332685e+20,3.307562134390762e+20
2023-08-11,4.160476721900034e+20,3.932613246401614e+20
2023-08-12,3.5620026107532824e+20,4.349313987742182e+20
2023-08-13,4.2108728124176145e+20,3.515912505061046e+20
2023-08-14,4.293213583265702e+20,4.4534891730773246e+20
2023-08-15,4.171949114330809e+20,4.4534891730773246e+20
2023-08-16,4.0323838991284476e+20,4.2451388024070406e+20
2023-08-17,3.5952117712598925e+20,4.0628322280705425e+20
2023-08-18,3.601228187725467e+20,3.620087690396188e+20
2023-08-19,3.976617230925393e+20,3.6461314867299746e+20
2023-08-20,4.0127179538813505e+20,4.2190950060732554e+20
2023-08-21,3.6899316645729036e+20,4.297226395074612e+20
2023-08-22,3.670609979744697e+20,3.7242628757313303e+20
2023-08-23,3.620317863460469e+20,3.926238919211806e+20
2023-08-24,3.5399408856443263e+20,3.8432902096509934e+20
2023-08-25,3.607661289157634e+20,3.732691930236576e+20
2023-08-26,3.137085092915756e+20,3.787991069943784e+20
2023-08-27,3.737085092915756e+20,3.207350103018095e+20
2023-08-28,4.081001571519815e+20,4.081001571519815e+20
2023-08-29,3.137085092915756e+20,4.368632036869475e+20
2023-08-30,4.043528188823738e+20,3.483845801554138e+20
2023-08-31,4.077945112625944e+20,3.9815380589190146e+20
2023-09-01,4.084465428116945e+20,4.175085047894244e+20
2023-09-02,4.186690208692562e+20,4.2027346177478486e+20
2023-09-03,4.037693798876019e+20,4.368632036869475e+20
2023-09-04,3.137085092915756e+20,4.119785908187036e+20
2023-09-05,3.6865479486166886e+20,3.4285466618469286e+20
2023-09-06,3.974469545086379e+20,3.633954539854071e+20
2023-09-07,3.5920341534967366e+20,3.930054539397736e+20
2023-09-08,4.071050916394428e+20,3.5801181763006765e+20
2023-09-09,3.996707672208599e+20,4.06464544828122e+20
2023-09-10,4.184954575485806e+20,3.956972721174432e+20
2023-09-11,3.8804229872802156e+20,4.279990902494795e+20
2023-09-12,4.015247084467822e+20,3.795463630514252e+20
2023-09-13,4.283399083768226e+20,3.956972721174432e+20
2023-09-14,4.628191879845737e+20,4.360745447824885e+20
2023-09-15,4.1811404064174165e+20,5.0606181740190034e+20
2023-09-16,4.078451698957583e+20,4.172318175388008e+20
2023-09-17,4.0711228413562375e+20,4.0108090847278275e+20
2023-09-18,3.7704438069493426e+20,4.199236357164705e+20
2023-09-19,3.923366878269824e+20,3.9468274432308006e+20
2023-09-20,3.716982883347497e+20,4.1455885374942216e+20
2023-09-21,3.137085092915756e+20,3.9184330011931686e+20
2023-09-22,4.0589181039304376e+20,3.6628830228544835e+20
2023-09-23,3.890340759288842e+20,4.4295329578705394e+20
2023-09-24,3.8471468502457614e+20,4.1455885374942216e+20
2023-09-25,3.629969312670074e+20,4.11719409545659e+20
2023-09-26,4.193993336276168e+20,3.861644117117906e+20
2023-09-27,4.0209734359413804e+20,4.4579273999081714e+20
2023-09-28,4.06673087866508e+20,4.1455885374942216e+20
2023-09-29,3.8623370092006303e+20,4.173982979531853e+20
2023-09-30,3.979906377280676e+20,3.9184330011931686e+20
2023-10-01,4.341173214660621e+20,4.0036163273060634e+20
2023-10-02,4.4133415913972754e+20,4.4579273999081714e+20
2023-10-03,3.3107302896994065e+20,4.673126912631659e+20
2023-10-04,4.012344226288169e+20,3.732802594846021e+20
2023-10-05,4.3656799638596446e+20,4.0177493578113647e+20
2023-10-06,4.5424846007235995e+20,4.5591482074455205e+20
2023-10-07,4.176505111470205e+20,4.872589646707401e+20
2023-10-08,4.2967267793692144e+20,4.2172120918871074e+20
2023-10-09,4.387786494564466e+20,4.4451695022593835e+20
2023-10-10,4.3258780162216185e+20,4.6161375600385904e+20
2023-10-11,4.377997068802078e+20,4.5591482074455205e+20
2023-10-12,3.881133932933946e+20,4.7016215889281935e+20
2023-10-13,4.073314459379547e+20,3.9322653289217615e+20
2023-10-14,4.416405251581161e+20,4.160222739294038e+20
2023-10-15,4.0263990236455993e+20,4.758610941521263e+20
